Distance (km),Fibre loss (dB) ,Fibre loss per km,Overall loss (dB),Overall loss per km,CD (ps/nm),CD per km
23.6,6.5,0.275423729,7.6,0.322033898,391.2,16.57627119
23.6,6.3,0.266949153,7.4,0.313559322,391.6,16.59322034
94.6,20.1,0.212473573,22.5,0.237843552,1553.6,16.42283298
94.6,20.1,0.212473573,20,0.21141649,1569.8,16.59408034
51.3,10.9,0.212475634,10,0.194931774,857,16.70565302
51.3,10.8,0.210526316,9,0.175438596,851.6,16.60038986
18.8,4.8,0.255319149,8,0.425531915,309.9,16.48404255
18.8,4.5,0.239361702,8.3,0.441489362,310.6,16.5212766
35.2,7.5,0.213068182,7.8,0.221590909,572.9,16.27556818
35.2,8.1,0.230113636,9.5,0.269886364,573.8,16.30113636
35.2,7.6,0.215909091,8.5,0.241477273,578.5,16.43465909
35.2,7.3,0.207386364,9.1,0.258522727,577.2,16.39772727
98.1,21.2,0.216106014,21.3,0.217125382,1609.2,16.40366972
98.1,20.7,0.211009174,22.3,0.227319062,1614.2,16.45463812
30.5,7.2,0.236065574,7.4,0.242622951,507.4,16.63606557
30.5,7.4,0.242622951,7.2,0.236065574,505.2,16.56393443
5.5,2.7,0.490909091,0,0,90.5,16.45454545
5.5,2.6,0.472727273,0,0,88.8,16.14545455
91.9,19,0.206746464,21,0.228509249,1531.3,16.66267682
91.9,18.8,0.204570185,19.7,0.214363439,1529,16.63764962
91.9,0,0,22,0.239390642,0,0
91.9,0,0,23,0.250272035,0,0
77,16,0.207792208,17.1,0.222077922,1263.8,16.41298701
77,15.9,0.206493506,16.8,0.218181818,1254.8,16.2961039
77,17.1,0.222077922,16.6,0.215584416,1263.7,16.41168831
77,15.7,0.203896104,18.2,0.236363636,1265.4,16.43376623
