x,Curve1
1525.0442,30.8095
1525.5752,31.6184
1526.0619,32.2846
1526.5487,32.9031
1527.0354,33.5217
1527.6106,34.1877
1528.1858,34.8062
1528.7611,35.2817
1529.3363,35.7573
1529.9115,36.09
1530.4867,36.3751
1531.2389,36.6124
1531.9912,36.7069
1532.6991,36.6585
1533.4513,36.5149
1534.0708,36.2761
1534.646,35.9898
1535.177,35.7035
1535.6637,35.3697
1536.1062,35.0359
1536.5929,34.6544
1536.9469,34.2731
1537.5221,33.7963
1538.0088,33.4148
1538.5398,33.0333
1539.0265,32.5566
1539.646,32.2226
1540.3097,31.8886
1541.0619,31.5544
1541.7699,31.4108
1542.5221,31.3148
1543.2743,31.314
1544.115,31.4083
1545,31.5026
1545.7522,31.6447
1546.5044,31.8344
1547.3009,31.9288
1548.0531,32.0708
1548.8938,32.2128
1549.6018,32.2597
1550.4425,32.2588
1551.2389,32.2579
1552.0354,32.2095
1552.6991,32.0659
1553.3628,31.9224
1554.115,31.7787
1554.823,31.5399
1555.3982,31.3488
1556.0619,31.1576
1556.7699,30.8235
1557.5221,30.4418
1558.2301,30.1077
1558.8053,29.7738
1559.5575,29.4396
1560.2212,28.8675
1560.9292,28.4382
1561.5487,27.9613
1562.0354,27.5322
1562.6106,27.0554
1563.2301,26.5786
1563.7611,26.0542
1564.4248,25.4821
1565,24.8624
1565.708,24.1474
1566.3274,23.6229
1566.9469,22.9556
1567.6106,22.3359
1568.2301,21.7162
1569.0265,20.9058
1569.6018,20.3338
1569.9558,20.0477
