x,Curve1
1525.1254,4.64055
1525.9191,4.68396
1526.7473,4.72116
1527.5755,4.75837
1528.4037,4.78317
1529.2319,4.79557
1530.0946,4.81417
1530.9228,4.82037
1531.7855,4.82037
1532.6483,4.82037
1533.511,4.80797
1534.3392,4.78317
1535.1674,4.75217
1535.9956,4.70876
1536.7893,4.65915
1537.6175,4.60955
1538.3767,4.54754
1539.2049,4.50413
1539.9641,4.44213
1540.7923,4.39872
1541.6205,4.36152
1542.4142,4.29951
1543.2079,4.2499
1544.0016,4.1941
1544.7608,4.12589
1545.4855,4.05148
1546.1757,3.97087
1546.9004,3.88406
1547.5905,3.80345
1548.3152,3.72904
1549.1089,3.66703
1549.9371,3.62982
1550.7999,3.62982
1551.6281,3.66083
1552.4218,3.71043
1553.181,3.76624
1553.9401,3.84065
1554.6993,3.90886
1555.424,3.98327
1556.2177,4.05148
1556.9769,4.10728
1557.7361,4.16309
1558.5298,4.2251
1559.358,4.2685
1560.1517,4.31191
1560.9454,4.34911
1561.7391,4.38632
1562.5673,4.41112
1563.43,4.41112
1564.2583,4.40492
1565.052,4.36772
1565.8457,4.31811
1566.5703,4.2561
1567.2605,4.18789
1568.0197,4.13209
1568.7099,4.07008
1569.5036,4.01427
