x,Curve1
1525.081,19.3206
1525.9239,19.3575
1526.767,19.5075
1527.6451,19.5821
1528.4881,19.6567
1529.3661,19.6557
1530.244,19.6548
1531.1221,19.7293
1532.0001,19.7284
1532.8781,19.7275
1533.7211,19.8021
1534.5991,19.8011
1535.4772,19.9134
1536.3202,19.988
1537.1982,19.9871
1538.0411,20.0239
1538.9192,20.0985
1539.7622,20.173
1540.6403,20.2476
1541.5183,20.2467
1542.3964,20.3212
1543.2394,20.3958
1544.1174,20.4703
1544.9605,20.6204
1545.8036,20.7704
1546.6466,20.845
1547.4897,21.0328
1548.3679,21.1451
1549.211,21.2951
1550.054,21.3697
1550.9321,21.4442
1551.8101,21.4433
1552.653,21.5179
1553.5309,21.4415
1554.4089,21.4406
1555.2516,21.3642
1556.1296,21.3633
1557.0075,21.2869
1557.8503,21.2105
1558.7281,21.1341
1559.5708,20.9823
1560.4134,20.8305
1561.2913,20.7541
1562.0987,20.5268
1562.9414,20.375
1563.7839,20.1854
1564.6265,19.9958
1565.3988,19.7686
1566.2062,19.5036
1567.0136,19.2763
1567.821,19.0113
1568.593,18.6332
1569.3652,18.2927
